date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1989-08-09,44.109375,44.171875,44.0,44.109375
1989-08-10,44.34375,44.34375,43.828125,44.078125
1989-08-11,44.203125,44.6875,43.734375,43.859375
1989-08-14,43.75,43.9375,43.34375,43.359375
1989-08-15,43.421875,43.5625,43.328125,43.484375
1989-08-16,43.65625,43.734375,43.53125,43.71875
1989-08-17,43.75,43.90625,43.453125,43.578125
1989-08-18,43.484375,43.703125,43.34375,43.625
1989-08-21,43.65625,43.78125,43.4375,43.453125
1989-08-22,43.484375,43.546875,43.21875,43.25
1989-08-23,43.265625,43.375,43.21875,43.359375
1989-08-24,43.515625,43.546875,43.390625,43.453125
1989-08-25,43.53125,43.59375,43.375,43.453125
1989-08-28,43.421875,43.421875,43.21875,43.265625
1989-08-29,43.265625,43.328125,43.09375,43.328125
1989-08-30,43.3125,43.390625,43.28125,43.390625
1989-08-31,43.421875,43.46875,43.3125,43.34375
1989-09-01,43.296875,43.640625,43.015625,43.625
1989-09-05,43.453125,43.578125,43.421875,43.5
1989-09-06,43.53125,43.5625,43.4375,43.546875
1989-09-07,43.59375,43.640625,43.46875,43.515625
1989-09-08,43.5,43.609375,43.484375,43.59375
1989-09-11,43.59375,43.6875,43.578125,43.6875
1989-09-12,43.609375,43.703125,43.59375,43.6875
1989-09-13,43.640625,43.8125,43.546875,43.578125
1989-09-14,43.578125,43.8125,43.5625,43.6875
1989-09-15,43.640625,43.96875,43.59375,43.8125
1989-09-18,43.859375,43.859375,43.734375,43.765625
1989-09-19,43.796875,43.875,43.734375,43.78125
1989-09-20,43.75,43.78125,43.578125,43.609375
1989-09-21,43.609375,43.625,43.40625,43.40625
1989-09-22,43.4375,43.46875,43.265625,43.375
1989-09-25,43.265625,43.3125,43.015625,43.046875
1989-09-26,43.09375,43.1875,42.953125,43.171875
1989-09-27,43.0625,43.203125,43.03125,43.15625
1989-09-28,43.21875,43.21875,43.0625,43.1875
1989-09-29,43.0625,43.171875,42.9375,43.15625
1989-10-02,43.1875,43.265625,43.15625,43.171875
1989-10-03,43.296875,43.359375,43.203125,43.34375
1989-10-04,43.421875,43.5,43.328125,43.40625
1989-10-05,43.421875,43.578125,43.234375,43.578125
1989-10-06,43.59375,43.984375,43.5625,43.90625
1989-10-09,43.984375,44.140625,43.875,44.109375
1989-10-10,44.03125,44.140625,43.921875,43.9375
1989-10-11,43.90625,43.953125,43.796875,43.796875
1989-10-12,43.796875,43.953125,43.765625,43.90625
1989-10-13,44.046875,44.140625,43.734375,44.09375
1989-10-16,44.59375,44.921875,43.9375,44.046875
1989-10-17,44.046875,44.3125,43.828125,44.015625
1989-10-18,43.984375,44.109375,43.890625,43.953125
1989-10-19,43.953125,44.15625,43.90625,44.09375
1989-10-20,44.109375,44.21875,43.96875,44.03125
1989-10-23,44.046875,44.234375,44.03125,44.21875
1989-10-24,44.296875,44.5625,44.203125,44.390625
1989-10-25,44.328125,44.421875,44.3125,44.375
1989-10-26,44.328125,44.421875,44.28125,44.28125
