,"Fast LS(5,21)","Medium-Fast LS(10,63)","Medium LS(20,126)","Slow LS(20,252)"
1968-03-26,0.38310951135129945,1.021573907391096,1.0831329827055343,1.0162061012486991
1968-03-27,0.38238261714253785,1.0200079788465095,1.0824919397223796,1.0169419883739923
1968-03-28,0.382539620883067,1.0206340773889697,1.0833790924727789,1.017583832519427
1968-03-29,0.38196770192411583,1.0181356589087855,1.0808001967186565,1.0157040659594445
1968-04-01,0.37580529368297566,1.0007556500040584,1.0620819695441237,1.0000046751458314
1968-04-02,0.3762312111180595,1.0008739301256087,1.061214728648686,0.9989212940821767
1968-04-03,0.3726821559077955,0.9869356229460321,1.0467542006609916,0.985678923425693
1968-04-04,0.3740117734488784,0.9912024989135835,1.0519096923060043,0.9912481030687913
1968-04-05,0.37286969780516754,0.9895474151732296,1.0516249580515482,0.9913043553590597
1968-04-08,0.374650322773312,0.990460095312543,1.050494515545419,0.9916262798599582
1968-04-09,0.3747792458034956,0.9907067429130157,1.0512413878249214,0.9928637997880141
1968-04-10,0.37633635357613004,0.9932524001739786,1.052454478148649,0.9949266845730297
1968-04-11,0.37877006823755244,1.002206250630059,1.0603219293068429,1.0031828618632095
1968-04-12,0.37859397193348177,1.0021313490471486,1.0599702642507252,1.0028341063637902
1968-04-15,0.3808518118380429,1.0155034373327436,1.0726540632672446,1.013519487576711
1968-04-16,0.3775275141018828,1.0085610794332704,1.0685916065854664,1.0104080372139497
1968-04-17,0.3756651020256451,1.003058852759617,1.0637091246366637,1.0065898276372962
1968-04-18,0.37544818165846405,1.0037041797228594,1.0662259529268643,1.0095442980956129
1968-04-19,0.37287322443326276,1.009410815183037,1.0827814238629345,1.027108273040613
1968-04-22,0.37231487581122147,1.011289038976501,1.0863775342195532,1.030845464578415
1968-04-23,0.37239901302917305,1.01093122800336,1.0827647573218164,1.027005686897402
1968-04-24,0.3735462626320162,1.0135762552168153,1.0848067614060246,1.028296468759889
1968-04-25,0.37453898000555325,1.015215590143362,1.085366711192554,1.0285724937907366
1968-04-26,0.3738766299682669,1.0135929068246465,1.0835227472054174,1.027157470425356
1968-04-29,0.3771583363812079,1.0200814057439977,1.0897925805710384,1.0333566666658496
1968-04-30,0.37858871214918927,1.0242537733958597,1.0937645029632588,1.0364884856357448
1968-05-01,0.37741015171626496,1.022922940374876,1.0920110728624046,1.0347064392501644
1968-05-02,0.3785124604937967,1.0253971499917909,1.0944844607166222,1.0371225044461598
1968-05-03,0.3791111388183125,1.0264689887073426,1.096299056414408,1.0391345841888695
1968-05-06,0.3796174068369896,1.0281070077581982,1.0976720524195693,1.0397502343643812
1968-05-07,0.38076666174571905,1.0311756308433544,1.1007092666804787,1.042376858584231
1968-05-08,0.37847502701297797,1.0262085669822616,1.0960943958190448,1.038493186858012
1968-05-09,0.3767632611040147,1.02304279235585,1.0934333629735218,1.0362077127372058
1968-05-10,0.3758826518106998,1.0223416570437773,1.0930257406512098,1.0363460592289537
1968-05-13,0.3748591917818777,1.0218715799260416,1.093425634623962,1.0371688729699458
1968-05-14,0.37427155616968266,1.0221858701460496,1.0947801876847512,1.0390745714813612
