,"Ultra-Slow LS(20,504)"
1992-11-13,3.6292065357726666
1992-11-16,3.6087514212015694
1992-11-17,3.600660885970414
1992-11-18,3.585164802223103
1992-11-19,3.5736825162036996
1992-11-20,3.558612032785325
1992-11-23,3.5693041303175024
1992-11-24,3.585062688016085
1992-11-25,3.5833024345234774
1992-11-26,3.573743727185955
1992-11-27,3.5476197144551973
1992-11-30,3.515450488360686
1992-12-01,3.520972024307374
1992-12-02,3.52096236658081
1992-12-03,3.5223682578073916
1992-12-04,3.544132414318809
1992-12-07,3.5788350557253117
1992-12-08,3.6045670724739316
1992-12-09,3.6001181206830872
1992-12-10,3.588448587942597
1992-12-11,3.5819011419067146
1992-12-14,3.5780399034262373
1992-12-15,3.563044145816595
1992-12-16,3.582160174133586
1992-12-17,3.5754089596539553
1992-12-18,3.5711857656880635
1992-12-21,3.578855719113895
1992-12-22,3.5838502823245815
1992-12-23,3.5759200257371915
1992-12-24,3.5826742929503546
1992-12-25,3.5869834065041344
1992-12-28,3.58403484883717
1992-12-29,3.5881469615782473
1992-12-30,3.6041505289716085
1992-12-31,3.6056769098659354
1993-01-01,3.6055284362068645
1993-01-04,3.638451240272073
1993-01-05,3.6505603410436387
1993-01-06,3.645318313385942
1993-01-07,3.6265858537307203
1993-01-08,3.637569351476398
1993-01-11,3.6776284083893938
1993-01-12,3.6593823134669115
1993-01-13,3.674286651556047
1993-01-14,3.695327425799133
1993-01-15,3.7137183058692487
1993-01-18,3.734141016854892
1993-01-19,3.731377418015689
1993-01-20,3.7313867893610677
1993-01-21,3.7246046348025508
1993-01-22,3.749478179469102
1993-01-25,3.785173398606205
1993-01-26,3.7753636928341088
1993-01-27,3.7728074225683166
1993-01-28,3.7545381823158532
1993-01-29,3.762514878480622
1993-02-01,3.7606758335228916
1993-02-02,3.762276382654178
1993-02-03,3.773679205269162
1993-02-04,3.780630039814891
1993-02-05,3.8004134354879477
1993-02-08,3.801723601577651
1993-02-09,3.80121027218462
1993-02-10,3.7827835555308877
1993-02-11,3.800161436985239
1993-02-12,3.8099748671183558
1993-02-15,3.8145593286666477
1993-02-16,3.7872963134267374
1993-02-17,3.81465174460749
1993-02-18,3.8519581288834748
1993-02-19,3.869241389642579
1993-02-22,3.905484391208832
1993-02-23,3.929958281195688
1993-02-24,3.9312018534502537
1993-02-25,3.9396143387738545
1993-02-26,3.9649701106473056
1993-03-01,3.981494531400175
1993-03-02,3.9884178324191586
1993-03-03,4.0240022413920755
1993-03-04,4.035980121329288
1993-03-05,4.026085204248956
1993-03-08,4.0330033289491105
1993-03-09,3.9899474475087016
1993-03-10,4.007345367822066
1993-03-11,4.004416526775589
1993-03-12,3.954436226149601
1993-03-15,3.949446010155279
1993-03-16,3.9743148709816274
1993-03-17,3.96934110556525
1993-03-18,3.9959114417743393
1993-03-19,4.002708162238759
1993-03-22,3.9946688102131693
1993-03-23,3.985414748102379
1993-03-24,3.964432171686419
1993-03-25,3.962000645576642
1993-03-26,3.9351707636152655
1993-03-29,3.946085400842606
1993-03-30,3.956960438189359
1993-03-31,3.9544709937199727
1993-04-01,3.9364629293242244
1993-04-02,3.8989520352120683
1993-04-05,3.9094643794262813
1993-04-06,3.9303527628347066
1993-04-07,3.940459758544144
1993-04-08,3.97041619990227
1993-04-09,3.97554834733898
1993-04-12,3.9990169859820095
1993-04-13,4.015550301032816
1993-04-14,4.035023541189822
1993-04-15,4.0372571135269935
1993-04-16,4.043489688101809
1993-04-19,4.071115830701865
1993-04-20,4.069464449816923
1993-04-21,4.090885430978911
1993-04-22,4.102695680891827
1993-04-23,4.083625698454374
1993-04-26,4.055781772270541
1993-04-27,4.017125277753072
1993-04-28,4.003754248539177
1993-04-29,4.017543628989753
1993-04-30,4.00526159066948
1993-05-03,4.027079879974424
1993-05-04,4.03396521182264
1993-05-05,4.024891397045222
1993-05-06,4.044466257921519
1993-05-07,4.039607191375743
1993-05-10,4.033379363386644
1993-05-11,4.04383007764744
1993-05-12,4.042842826678977
1993-05-13,4.026406239217489
1993-05-14,4.028033395435165
1993-05-17,4.013859310525774
1993-05-18,3.97876748900946
1993-05-19,3.9985655944842375
1993-05-20,4.012591120946169
1993-05-21,3.984748910133328
1993-05-24,3.9653951809477332
1993-05-25,3.994889547288202
1993-05-26,4.012282515511367
1993-05-27,4.025985741554706
1993-05-28,4.011765326818383
1993-05-31,4.001420577627884
1993-06-01,4.033034344695036
1993-06-02,4.03018656630949
1993-06-03,4.049952725748853
1993-06-04,4.028757775120014
1993-06-07,4.033172344065346
1993-06-08,4.023768860884912
1993-06-09,4.045788051520347
1993-06-10,4.054220120047345
1993-06-11,4.111894667908753
1993-06-14,4.1286248025812675
1993-06-15,4.129550460022235
1993-06-16,4.1224493191704425
1993-06-17,4.120710906810878
1993-06-18,4.090421463982552
1993-06-21,4.079179897203516
1993-06-22,4.070586669014515
1993-06-23,4.066912209465342
1993-06-24,4.091988521275634
1993-06-25,4.131193380628126
1993-06-28,4.164737535819783
1993-06-29,4.168609110801099
1993-06-30,4.179646232265839
1993-07-01,4.177527662200785
1993-07-02,4.191364220992404
1993-07-05,4.195281409789328
1993-07-06,4.164379263623469
1993-07-07,4.178045814934382
1993-07-08,4.200397598354687
1993-07-09,4.203946504564872
1993-07-12,4.212382151622351
1993-07-13,4.204553914319046
1993-07-14,4.23359020218527
1993-07-15,4.219809326958799
1993-07-16,4.23215277608774
1993-07-19,4.223433945590759
1993-07-20,4.221421034503493
1993-07-21,4.177990969952179
1993-07-22,4.158998073702597
1993-07-23,4.161410194900446
1993-07-26,4.189720935960293
1993-07-27,4.190153346284925
1993-07-28,4.209767003813734
1993-07-29,4.273643615808826
1993-07-30,4.290682200234167
1993-08-02,4.3110243327593585
1993-08-03,4.339587757749383
1993-08-04,4.332596790287303
1993-08-05,4.321476403095689
1993-08-06,4.345944194226331
1993-08-09,4.370415987762508
1993-08-10,4.386680009600291
1993-08-11,4.403818031593606
1993-08-12,4.4006918473733245
1993-08-13,4.424374690496206
1993-08-16,4.443925083574134
1993-08-17,4.456156173483055
1993-08-18,4.480868982152027
1993-08-19,4.492192218507562
1993-08-20,4.491836893279273
1993-08-23,4.479901763891116
1993-08-24,4.485305795544834
1993-08-25,4.5193306932274195
1993-08-26,4.547748144871806
1993-08-27,4.554229493197577
1993-08-30,4.593323959985666
1993-08-31,4.6134624557274355
1993-09-01,4.627484302162299
1993-09-02,4.641699687168818
1993-09-03,4.6685932881667025
1993-09-06,4.677918865717609
1993-09-07,4.659071714675793
1993-09-08,4.6386424727120055
1993-09-09,4.597742328029806
1993-09-10,4.6278202466865155
1993-09-13,4.628143855570926
1993-09-14,4.583292448225658
1993-09-15,4.561254349095017
1993-09-16,4.578081960051524
1993-09-17,4.589787463065489
1993-09-20,4.558332703215977
1993-09-21,4.529734310253876
1993-09-22,4.536169443199366
1993-09-23,4.55460512062728
1993-09-24,4.553645472554459
1993-09-27,4.604291683535694
1993-09-28,4.631446536726941
1993-09-29,4.597393790931384
1993-09-30,4.585738989300793
1993-10-01,4.615362997838165
1993-10-04,4.644134310109174
1993-10-05,4.66213203512103
1993-10-06,4.685410567199063
1993-10-07,4.697725722047754
1993-10-08,4.731155757236332
1993-10-11,4.740178624105571
1993-10-12,4.7635316330713415
1993-10-13,4.771534944535721
1993-10-14,4.797022036146492
1993-10-15,4.849406353761203
1993-10-18,4.8294715319225086
1993-10-19,4.828803613219657
1993-10-20,4.845498484953736
1993-10-21,4.814430542344111
1993-10-22,4.813114235717452
1993-10-25,4.789983221088216
1993-10-26,4.7991260354197305
1993-10-27,4.792002136992411
1993-10-28,4.821003339963141
1993-10-29,4.846994047841675
1993-11-01,4.819352359940187
1993-11-02,4.792643017826903
1993-11-03,4.7606628301798946
1993-11-04,4.737142042703693
1993-11-05,4.677078989633802
1993-11-08,4.700351667766807
1993-11-09,4.739939865996448
1993-11-10,4.725824095018094
1993-11-11,4.707009189304396
1993-11-12,4.753260798939025
1993-11-15,4.75089083425012
1993-11-16,4.772507660868944
1993-11-17,4.787616392500154
1993-11-18,4.7880423692426115
1993-11-19,4.737902184067863
1993-11-22,4.676239657236241
1993-11-23,4.697906884999649
1993-11-24,4.720532854949451
1993-11-25,4.745464753303618
1993-11-26,4.78970220682275
1993-11-29,4.787275767765673
1993-11-30,4.765747321074695
1993-12-01,4.804683333177185
1993-12-02,4.821206975006784
1993-12-03,4.846805918698229
1993-12-06,4.908400556895064
1993-12-07,4.922360794701041
1993-12-08,4.953768177140774
1993-12-09,4.956617429492122
1993-12-10,4.943137055638917
1993-12-13,4.946821157509301
1993-12-14,4.930696908209847
1993-12-15,4.926596426382313
1993-12-16,4.94732931770544
1993-12-17,4.981058493864852
1993-12-20,4.9998455666521995
1993-12-21,4.992477137324906
1993-12-22,5.035745778133429
1993-12-23,5.067956753115676
1993-12-24,5.0733264554211335
1993-12-27,5.091035243245866
1993-12-28,5.097373579636868
1993-12-29,5.123015828935664
1993-12-30,5.105799944908932
1993-12-31,5.107822734625005
1994-01-03,5.077603315974067
1994-01-04,5.057977224631951
1994-01-05,5.04358675271674
1994-01-06,5.06985571399943
1994-01-07,5.130975560628107
1994-01-10,5.158764597754303
1994-01-11,5.1557264220775
1994-01-12,5.162786144190596
1994-01-13,5.133755807218252
1994-01-14,5.136408687922271
1994-01-17,5.135111889939892
1994-01-18,5.148679428278573
1994-01-19,5.146580453902885
1994-01-20,5.147099231579884
1994-01-21,5.143345843081266
1994-01-24,5.155533127667868
1994-01-25,5.130950778092355
1994-01-26,5.136809728728953
1994-01-27,5.157220046741769
1994-01-28,5.1908916400242395
1994-01-31,5.23597270962342
1994-02-01,5.196781047393999
1994-02-02,5.205701737551075
1994-02-03,5.157289118082253
1994-02-04,5.077628651364719
1994-02-07,5.024368527947529
1994-02-08,5.045691441808548
1994-02-09,5.091431973157072
1994-02-10,5.073816684591385
1994-02-11,5.075627069970353
1994-02-14,5.087207821997978
1994-02-15,5.088432223185112
1994-02-16,5.091701287265883
1994-02-17,5.041601093245312
1994-02-18,4.963569364915361
1994-02-21,4.915934524117784
1994-02-22,4.954302277802684
1994-02-23,4.926131046340217
1994-02-24,4.819010655073356
1994-02-25,4.808043551588298
1994-02-28,4.858356747658782
1994-03-01,4.763332515098364
1994-03-02,4.705726943745964
1994-03-03,4.704255196868027
1994-03-04,4.714543822580375
1994-03-07,4.764361739266476
1994-03-08,4.747419742210674
1994-03-09,4.73141336176131
1994-03-10,4.696746176630218
1994-03-11,4.686852683680905
1994-03-14,4.704327761757389
1994-03-15,4.705303089014252
1994-03-16,4.738355929344238
1994-03-17,4.731362871657219
1994-03-18,4.695003966071946
1994-03-21,4.620309162522813
1994-03-22,4.6468580649582725
1994-03-23,4.68357118613511
1994-03-24,4.633206178160401
1994-03-25,4.5982336432706274
1994-03-28,4.610762377867233
1994-03-29,4.5559125420424085
1994-03-30,4.519710265663081
1994-03-31,4.53136710236788
1994-04-01,4.496190418459483
1994-04-04,4.4126806460018555
1994-04-05,4.392602916475535
1994-04-06,4.442269499435685
1994-04-07,4.446023299607696
1994-04-08,4.443759726229637
1994-04-11,4.424607628009633
1994-04-12,4.440989343551019
1994-04-13,4.430982765804538
1994-04-14,4.40057929453036
1994-04-15,4.404755059047249
1994-04-18,4.363028875453413
1994-04-19,4.321247645119963
1994-04-20,4.316733815414813
1994-04-21,4.346390841718453
1994-04-22,4.356128431117153
1994-04-25,4.393294056967159
1994-04-26,4.421372750017148
1994-04-27,4.417451677475469
1994-04-28,4.419306633697915
1994-04-29,4.432573067554527
1994-05-02,4.42872723150811
1994-05-03,4.399863344510567
1994-05-04,4.370330657666025
1994-05-05,4.339145624782703
1994-05-06,4.309369273304369
1994-05-09,4.275446812630898
1994-05-10,4.292614156278763
1994-05-11,4.296443206125681
1994-05-12,4.311362540304339
1994-05-13,4.342394516675624
1994-05-16,4.381935816788701
1994-05-17,4.408056710144057
1994-05-18,4.462592433092786
1994-05-19,4.465375983531191
1994-05-20,4.485402318011345
1994-05-23,4.478584083608889
1994-05-24,4.448884931354575
1994-05-25,4.43445060333222
1994-05-26,4.441489655090428
1994-05-27,4.435797272000262
1994-05-30,4.4386273421143905
1994-05-31,4.442972686947256
1994-06-01,4.412573820059243
1994-06-02,4.422443607045335
1994-06-03,4.412157195954523
1994-06-06,4.408742776225595
1994-06-07,4.407135172639941
1994-06-08,4.408845664944018
1994-06-09,4.393422512571814
1994-06-10,4.4051088130475415
1994-06-13,4.42191421472337
1994-06-14,4.410950747119593
1994-06-15,4.42655985258441
1994-06-16,4.4145346958124465
1994-06-17,4.426835892079457
1994-06-20,4.345914817522574
1994-06-21,4.349697800594899
